Proyecto,Alias,Sector,Subsector,Tipo de inversión,Moneda del contrato,Inversión (Millones MXN),Inversión (Millones USD),Alcances del contrato,Participación Banobras/Fonadin,Descripción,Tipo de proyecto,Tipo de contrato,Plazo de contrato,Proceso de selección,Registro de Unidad de Inversiones o equivalente,Anuncio/ Convocatoria,Recepción de propuestas,Fallo,Firma contrato,Inicio de ejecución/construcción,Inicio de operación,Término de la vigencia del contrato,Etapa,Subetapa,Nombre del adjudicatario del contrato,Empresas asociadas al adjudicatario,Estado(s),Entidad responsable,�?rea responsable,Observaciones,URL,Activo,Cantidad,Medida,Calidad,Activo 2,Cantidad 2,Medida 2,Calidad 2,Activo 3,Cantidad 3,Medida 3,Calidad 3,Activo 4,Cantidad 4,Medida 4,Calidad 4,Sostenibilidad,Redes de Alianza
1030 Terminal Especializada en Graneles Minerales en el Puerto de Guaymas,"USO, APROVECHAMIENTO Y EXPLOTACIÓN DE UNA TERMINAL ESPECIALIZADA EN GRANELES MINERALES EN EL PUERTO DE GUAYMAS, ESTADO DE SONORA.",Transporte,Puertos,Greenfield,Pesos mexicanos MXN,,,"Operación,Explotación",,"El proyecto consiste en: i) El uso, aprovechamiento y explotación de una superficie terrestre total de 28,416 m2, conformada por un almacén en una superficie de 10,580 m2 y un patio de operaciones a cielo abierto de 17,836 m2, que debe destinarse para la operación de una instalación portuaria especializada, de uso público, para el manejo de graneles minerales (instalación), ubicada en la zona central del recinto portuario del Puerto de Guaymas, ii) Proporcionar el servicio de maniobras, iii) Con previa autorización de la ASIPONA, la opción de establecer una banda transportadora fija de la instalación al ante muelle del muelle 2, 3 o 4, de la banda este del puerto, mismos que son de uso público o uso común y en el que operan los maniobristas autorizados por la ASIPONA.",Público / Privado,Cesión Parcial de Derechos,15 Años,Licitación Pública Internacional,,16/10/2025,20/03/2026,31/03/2026,,,,,Licitación,Elaboración de Propuesta,,,Sonora,Secretaría de Marina,false,La cesión tendrá la posibilidad de que se prorrogue hasta por 15 años más.,https://www.proyectosmexico.gob.mx/proyecto_inversion/1030-terminal-especializada-en-graneles-minerales-en-el-puerto-de-guaymas/,Terminal Portuaria,28416,m2,,,,,,,,,,,,,,,
"1029 PODECOBI Altamira, Tamaulipas","POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR e innovación (PODECOBI) ALTAMIRA, EN EL ESTADO DE TAMAULIPAS.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El Polo de Desarrollo Económico para el Bienestar Altamira consta de una superficie de 1637-77-99.12 hectáreas, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Las características del polo y municipios aledaños son las siguientes: I. Macrolocalización: Altamira, Tamaulipas. II. Comunicación y conectividad: a 7 km de la carretera federal 80, forma parte del corredor Altamira-Monterrey y tiene conexión con mercados internacionales vía marítima. Se encuentra a 17 km del Aeropuerto Internacional de Tampico, Tamaulipas. III. Poblacional: 904,670 habitantes en el municipio de Altamira y aledaños. IV. Factibilidad social: el Instituto Nacional de los de los Pueblos Indígenas informó “[…] al no identificarse comunidad indígena titular del Derecho a la Consulta, resulta innecesario analizar si la medida que nos ocupa puede generar posibilidad de afectación […]” V. Educativo: instituciones de educación superior, media superior y de formación para el trabajo en el polo y municipios aledaños. VI. Territorial: para el desarrollo de actividades productivas en el polo son vocaciones productivas, prioritarias y potenciales las siguientes: · Automotriz; · Química; · Farmacéutica; · Petroquímica; · Industria eléctrica-electrónica; · Metalmecánico; · Manufactura avanzada, y · Logística. VII. Factibilidad industrial: cuenta con vocación y uso de suelo industrial compatible, posee alto potencial de desarrollo con industrias ya establecidas y su conexión vía marítima. VIII. Sostenibilidad: la Secretaría de Medio Ambiente y Recursos Naturales dictaminó que el polo es viable en materia ambiental, sujeto al cumplimiento de los requisitos normativos aplicables y a la integración de medidas específicas para protección ecológica y gestión hídrica. IX. Servicios e infraestructura: cuenta con los servicios e infraestructura básicos para el desarrollo de las actividades productivas. X. Propiedad: los predios que conforman el área del PODECOBI son de propiedad pública estatal.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Tamaulipas,Secretaría de Economía,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1029-podecobi-altamira-tamaulipas/,,,,,,,,,,,,,,,,,,
1028 Agua para San Luis Potosí,"Construcción de una línea de conducción desde la Presa Gonzalo N. Santos hasta la presa San José, en el estado de san luis potosí.",Agua y Medio Ambiente,Abastecimiento de Agua,Greenfield,Pesos mexicanos MXN,97,5,Construcción,,"El proyecto consiste en la construcción de una línea de conducción de acero de 12"" de diámetro, con capacidad de 100 l/s, desde la Presa Gonzalo N. Santos, hasta la presa San José, incluye 16 cruces con caminos otros cauces y arroyos, obra de toma y obra de descarga, así como supervisión. Las fechas señaladas en el apartado de Situación Actual corresponden a la licitación relativa a la construcción de la línea de conducción.",,Obra Pública Tradicional,,Licitación Pública Nacional,,15/10/2025,29/10/2025,13/11/2025,,,,,Licitación,Desierto,,,San Luis Potosí,Comisión Nacional del Agua,false,"Clave de cartera: 2516B000084 Beneficio para 907,903 habitantes",https://www.proyectosmexico.gob.mx/proyecto_inversion/1028-agua-para-san-luis-potosi/,Línea de conducción,100,litros por segundo (l/s),,,,,,,,,,,,,,,
1027 CFE: Modernización de la subestación eléctrica Laguna Verde 230 kV,"Modernización de la Subestación Eléctrica Laguna Verde 230 kV, en el estado de Veracruz.",Electricidad,Transmisión / Distribución,Greenfield,Pesos mexicanos MXN,910,49,Modernización,,"El proyecto consiste en ingeniería, suministro de equipos y materiales, construcción de obra civil y electromecánica, pruebas preoperativas y operativas para la puesta en servicio de las siguientes obras: - Subestación eléctrica Laguna Verde SF6 230 kV + Banco AT3: Construcción de una nueva subestación encapsulada en SF6 en un nivel de tensión de 230 kV formada con 7 bahías (6 alimentadores), obra ubicada junto a la actual subestación eléctrica SF6 de 400 KV; construcción de un nuevo banco de transformación AT-3 con relación de transformación de 400/230/34.5 kV, formado por 4 unidades monofásicas de 125 MVA. - Subestación eléctrica Laguna Verde en media tensión para servicio propio + banco de transformadores: Construcción de una nueva subestación en media tensión formado nuevo banco de transformación con relación de transformación de 230/34.5 kV, y construcción de una nueva caseta para tableros Metalclad aislados en tensión de 34.5 kV, para reubicar el Bus 31 y Bus 32 actual a estos nuevos tableros metal Clad; construcción de un nuevo banco de transformación con relación de transformación de 230/34.5 kV formado por una unidad trifásica de 50 MVA. - Construcción e instalación de equipos de facturación (medición fiscal) en la subestación existente SF6 de 400 kV. - Desmantelamiento, embalado, retiro y entrega en almacén de banco de transformación 400/230/34.5 kV (AT-3 existente) y de subestación encapsulada en SF6 Marca ABB tipo intemperie de 230 kV, ubicados actualmente en el área de la doble malla (área protegida). - Contrato de obra llave en mano a precio alzado. - El contenido nacional de mano de obra que deben cumplir los concursantes en la ejecución de los trabajos será de cuando menos 90% respecto al costo del proyecto será como máximo el 40.76%. - La Comisión Federal de Electricidad, CFE, otorgará un anticipo del 30% del monto total del contrato.",Público,Obra Pública Tradicional,,Licitación Pública Internacional,,10/10/2025,04/11/2025,18/11/2025,01/12/2025,01/12/2025,,01/05/2027,Licitación,Formalización,Electro Servicios HR,,Veracruz,Comisión Federal de Electricidad,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1027-cfe-modernizacion-de-la-subestacion-electrica-laguna-verde-230-kv/,Estación/ Subestación Eléctrica,230,kV,,Estación/ Subestación Eléctrica,,,,,,,,,,,,,
1026 Ampliación y modernización del Aeropuerto Internacional de Puerto Escondido,"AMPLIACIÓN Y MODERNIZACIÓN DEL AEROPUERTO INTERNACIONAL DE PUERTO ESCONDIDO, EN EL ESTADO DE OAXACA.",Transporte,Aeropuertos,Brownfield,Pesos mexicanos MXN,"3,020",163,"Ampliación,Modernización",,"El proyecto deriva de la concesión para administrar, operar, explotar, y, en su caso, construir el aeropuerto. La concesionaria, en ejercicio de los derechos que le otorga la concesión, elaborará un Programa Maestro de Desarrollo con base en las políticas y programas establecidos para el desarrollo del Sistema Aeroportuario Nacional y su interrelación con otros modos de transporte. El Programa Maestro de Desarrollo 2024-2038 autorizado por la Agencia Federal de Aviación Civil, contempla en su primer quinquenio 2024-2028 un total de 51 acciones puntuales, entre proyectos, obras, servicios y equipamiento, entre las que destacan: -Rehabilitación del pavimento de la pista 09-27 -Construcción de una nueva terminal de pasajeros con una superficie de 15 000 m² -Ampliación de la plataforma de aviación comercial a 4 posiciones -Construcción de una nueva plataforma de aviación general -Urbanización del acceso al aeropuerto y del estacionamiento -Construcción del Área de Seguridad de Extremo de Pista La inversión corresponde al monto previsto para el periodo 2024-2028.",,Concesión,45 Años,,,,,,28/11/2023,,,28/11/2068,Ejecución,,"Grupo Aeroportuario Turístico Mexicano, S.A. de C.V",,Oaxaca,Aeropuertos y Servicios Auxiliares,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1026-ampliacion-y-modernizacion-del-aeropuerto-internacional-de-puerto-escondido/,,,,,,,,,,,,,,,,,,
1025 Ampliación y modernización del Aeropuerto Internacional de Tepic,"AMPLIACIÓN Y MODERNIZACIÓN DEL AEROPUERTO INTERNACIONAL DE TEPIC, EN EL ESTADO DE NAYARIT.",Transporte,Aeropuertos,Brownfield,Pesos mexicanos MXN,"4,133",223,"Ampliación,Modernización",,"El proyecto deriva de la concesión para administrar, operar, explotar, y, en su caso, construir el aeropuerto. La concesionaria, en ejercicio de los derechos que le otorga la concesión, elaborará un Programa Maestro de Desarrollo con base en las políticas y programas establecidos para el desarrollo del Sistema Aeroportuario Nacional y su interrelación con otros modos de transporte. El Programa Maestro de Desarrollo 2023-2037 autorizado por la Agencia Federal de Aviación Civil, contempla en su primer quinquenio 2023-2027 un total de 46 acciones puntuales, entre proyectos, obras, servicios y equipamiento, entre las que destacan: -Rehabilitación y ampliación de la pista 02-20 en 800 metros -Construcción de una nueva terminal de pasajeros con una superficie de 18 000 m² -Ampliación de la plataforma de aviación comercial con 4 posiciones adicionales -Edificación de una nueva torre de control -Urbanización del acceso al aeropuerto La inversión estimada corresponde al monto previsto para el periodo 2023-2027.",,Concesión,45 Años,,,,,,13/12/2022,,,13/12/2067,Ejecución,,"Grupo Aeroportuario Turístico Mexicano, S.A. de C.V",,Nayarit,Aeropuertos y Servicios Auxiliares,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1025-ampliacion-y-modernizacion-del-aeropuerto-internacional-de-tepic/,,,,,,,,,,,,,,,,,,
"1024 CFE: Subestación eléctrica San Bartolo Banco 1, Zona de Distribución Huejutla","Construcción de obra civil y electromecánica para la S.E. San Bartolo Banco 1, en el ámbito de la Zona de Distribución Huejutla, en el estado de Hidalgo.",Electricidad,Transmisión / Distribución,Greenfield,Pesos mexicanos MXN,,,Construcción,,"El proyecto consiste en la construcción de una subestación eléctrica con dos alimentadores, con una potencia de 9.327 MVA, en Santa María Temaxcalapa, municipio de Tenango de Doria, estado de Hidalgo, con las siguientes características: - 2 alimentadores de 115 kV para las líneas de alta tensión que deben enlazar a esta subestación con las subestaciones Cruz de Ataque e Ixhuatlán de Madero. - 1 alimentador den 115 kV para el banco de transformación de 7.5/9.375 MVA-115/23 kV. - Bahías de 115 kV para 2 alimentadores de 115 kV y 1 alimentador de 115 kV para el banco de transformación. - 1 sistema de tableros PCyM. - 1 sistema de tableros de control supervisorio. - 1 sistema de tableros de comunicaciones. - 2 alimentadores en 23 kV. - Banco de capacitores 0.6 MVAr. - Contrato de obra a precios unitarios y evaluación por precio. - El contenido nacional de mano de obra que deben cumplir los concursantes en la ejecución de los trabajos será de cuando menos 90% y en materiales y equipo de instalación permanente será de al menos 61.04%. - El precio máximo de contratación al que la CFE considera susceptible la adjudicación del contrato es por la cantidad de MXN $59,589,061.62 sin incluir el IVA. - CFE pagará los trabajos mediante la formulación de estimaciones mensuales acompañadas de los números generadores sujetos al avance de los trabajos que el contratista presentará.",Público,Obra Pública Tradicional,,Licitación Pública Nacional,,10/11/2025,20/11/2025,04/12/2025,18/12/2025,19/12/2025,,28/08/2026,Licitación,Revisión de Propuesta,,,Hidalgo,Comisión Federal de Electricidad,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1024-cfe-s-e-san-bartolo-banco-1-zona-de-distribucion-huejutla/,Estación/ Subestación Eléctrica,"9,327",MVA,,,,,,,,,,,,,,,
"1023 Dragado de construcción de vías navegables, áreas de infraestructura marítima y reclamación de tierra mediante contención, del Puerto Laguna de Cuyutlán","Dragado de construcción de vías navegables, áreas de infraestructura marítima y reclamación de tierra mediante contención, del Puerto Laguna de Cuyutlán, EN EL ESTADO DE COLIMA.",Transporte,Puertos,Greenfield,Pesos mexicanos MXN,,,Construcción,,"La ejecución del servicio consiste en el Dragado de construcción de vías navegables, áreas de infraestructura marítima y reclamación de tierra mediante contención y estos se definen en el catálogo de conceptos y especificaciones particulares de la licitación, los cuales se enuncian a continuación: 1. Movilización de unidades de dragado y equipo auxiliar 2. Dragado marítimo y reclamación de tierra 3. Muro de enrocamiento 4. Camino provisional 5. Colocación tablaestaca Terminal Pemex 6. Colocación tablaestaca Terminal Remolcadores 7. Colocación tablaestaca terminales especializadas (TEC II y TEC III) 8. Colocación tablaestaca envolvente de cierre terminal especializada TEC III",,Obra Pública Tradicional,,Licitación Pública Internacional,,15/09/2025,08/12/2025,15/12/2025,,19/12/2025,,2028,Licitación,Elaboración de Propuesta,,,Colima,Administración del Sistema Portuario Nacional Manzanillo,false,El plazo de ejecución de los trabajos será de 776 días naturales,https://www.proyectosmexico.gob.mx/proyecto_inversion/1023-dragado-de-construccion-de-vias-navegables-areas-de-infraestructura-maritima-y-reclamacion-de-tierra-mediante-contencion-del-puerto-laguna-de-cuyutlan/,,,,,,,,,,,,,,,,,,
1022 Carriles confinados Corredor Tijuana – Rosarito 2000,"DISEÑO, CONSTRUCCIÓN, OPERACIÓN, MANTENIMIENTO, CONSERVACIÓN Y EXPLOTACIÓN DE LOS CARRILES CONFINADOS DEL CORREDOR TIJUANA ROSARITO 2000, EN EL ESTADO DE BAJA CALIFORNIA.",Transporte,Carreteras / Puentes,Greenfield,Pesos mexicanos MXN,,,"Diseño,Construcción,Operación,Mantenimiento,Conservación,Explotación",,"El proyecto consiste en el diseño, construcción, operación, mantenimiento, conservación y explotación de los carriles confinados del Corredor Tijuana - Rosarito 2000 del Km 0+000 al Km 12+000, incluyendo el derecho de vía y la ejecución de obras complementarias necesarias para el Proyecto, en el Estado de Baja California. Obras complementarias: Todos aquellos trabajos, intervenciones, servicios, actividades, construcciones, adecuaciones o mejoras que se requieran directamente para preservar, mejorar o adecuar la infraestructura relacionada con el proyecto, pero que no forman parte del diseño, construcción, operación, explotación, mantenimiento ni conservación de este, ni constituyen componentes esenciales de su estructura funcional. Dichas obras incluirán, de manera enunciativa mas no limitativa, los trabajos de calafateo, bacheo, aplicación de sobrecarpetas, limpieza, señalamiento, alumbrado, drenaje pluvial, protección de taludes, obras inducidas, pasos peatonales, accesos, adecuaciones viales complementarias, y en general, todas aquellas acciones necesarias para asegurar la funcionalidad, seguridad y conectividad del Proyecto en su entorno urbano o carretero inmediato, siempre que no estén comprendidas en el alcance técnico principal del proyecto.",Público / Privado,Concesión Estatal,30 Años,Invitación,,13/05/2025,12/06/2025,19/06/2025,17/07/2025,,,2055,Ejecución,Actividades Previas,Concesionaria Carril Confinado Tijuana 2000,"Calzada Construcciones, Construcciones y Dragados del Sureste",Baja California,Gobierno Estatal,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1022-carriles-confinados-corredor-tijuana-rosarito-2000/,Carretera,12,km,,,,,,,,,,,,,,,
"1021 PODECOBI Hermosillo, Sonora","POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR e innovación (PODECOBI) hermosillo, EN EL ESTADO DE sonora.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El Polo de Desarrollo Económico para el Bienestar e Innovación Hermosillo consta de una superficie de 546.45 hectáreas, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Las características del polo y municipios aledaños son las siguientes: I. Macrolocalización: Hermosillo, Sonora. II. Comunicación y conectividad: a 650 m de la carretera Hermosillo-Guaymas y conectado por la Carretera Federal 15. Se encuentra a 265 km de Nogales, 154 km del Puerto de Guaymas, y cuenta con acceso ferroviario (2 km) y aéreo mediante el Aeropuerto Internacional General Ignacio Pesqueira (17 km). III. Poblacional: 1,128,424 habitantes en el municipio de Hermosillo y aledaños. IV. Factibilidad social: el Instituto Nacional de los de los Pueblos Indígenas manifestó ""[...]al no identificarse comunidad indígena en el trazo del proyecto, resulta innecesario analizar si la medida que nos ocupa puede causar afectaciones o impactos significativos en su vida o entorno y, menos aún, determinar la procedencia de un proceso de consulta[...]"" V. Educativo: instituciones de educación superior y media superior en el polo y municipios aledaños. VI. Territorial: para el desarrollo de actividades productivas en el polo son vocaciones productivas, prioritarias y potenciales las siguientes: · Automotriz · Semiconductores y electrónica especializada · Agroindustrial · Energía · Logística · Dispositivos médicos y de medición VII. Factibilidad industrial: cuenta con uso de suelo industrial y con infraestructura urbana básica VIII. Sostenibilidad: se cuenta con Manifestación de Impacto Ambiental y Estudio Técnico Justificativo, con resolutivos aprobatorios. Actualmente se realizan acciones de mitigación conforme a las medidas establecidas IX. Servicios e infraestructura: el dictamen individual emitido por la Secretaría de Energía, evalúa este Polo con pre factibilidad positiva X. Propiedad: los predios que conforman el área del PODECOBI son de propiedad pública estatal.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Sonora,Secretaría de Economía,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1021-podecobi-hermosillo-sonora/,,,,,,,,,,,,,,,,,,
1020 PODECOBI Centro Logístico e Industrial de Durango,"POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR (PODECOBI) Centro Logístico e Industrial de Durango (CLID), EN EL ESTADO DE DURANGO.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El PODECOBI Centro Logístico e Industrial de Durango consta de una superficie de 315.41 hectáreas, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Las características del polo y municipios aledaños son las siguientes: I. Macrolocalización: Durango, Durango II. Comunicación y conectividad: se ubica a pie de paso de la carretera 40D, así como de la vía férrea existente, en la periferia de la Ciudad de Durango, a 780 m de la zona urbana Cinco de Mayo y a 4 km del Aeropuerto Internacional de Durango III. Poblacional: 914,046 habitantes en el municipio de Durango y aledaños IV. Factibilidad social: el Instituto Nacional de los de los Pueblos Indígenas informó ""(...)al no identificarse comunidad indígena titular del Derecho a la Consulta, resulta innecesario analizar si la medida que nos ocupa puede generar posibilidad de afectación y menos aún determinar la procedencia de un proceso de consulta(...)"" V. Educativo: instituciones de educación superior y media superior en el PODECOBI y municipios aledaños VI. Territorial: para el desarrollo de actividades productivas en el PODECOBI son vocaciones productivas, prioritarias y potenciales las siguientes: ·Movilidad eléctrica ·Industria cinematográfica ·Autopartes ·Electrónica especializada ·Manufactura avanzada ·Industria textil ·Industria de papel ·Automotriz ·Manufactura avanzada VII. Factibilidad industrial: el inmueble cuenta con uso de suelo industrial y con infraestructura urbana básica VIII. Sostenibilidad: la Secretaría de Medio Ambiente y Recursos Naturales determinó que es viable en materia ambiental, ya que, el polígono se encuentra totalmente impactado, clasificado como área no forestal y sin vegetación IX. Servicios e infraestructura: cuenta con los servicios e infraestructura básicos para el desarrollo de las actividades productivas. Dispone de vialidades, energía eléctrica, agua potable, drenaje y conectividad X. Propiedad: los predios que conforman el área del polo son de propiedad pública estatal",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Durango,Secretaría de Economía,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1020-podecobi-centro-logistico-e-industrial-de-durango/,,,,,,,,,,,,,,,,,,
"1019 PODECOBI Tuxpan, Veracruz","POLO DE DESARROLLO ECONÓMICO PARA EL BIENESTAR (PODECOBI) TUXPAN, EN EL ESTADO DE VERACRUZ.",Industria,Industria,Greenfield,Pesos mexicanos MXN,,,"Construcción,Administración",,"Los PODECOBI son ecosistemas productivos articulados, donde el Estado actúa como promotor de inversión, impulsor de capacidades locales y facilitador de servicios públicos y logísticos. Diseñados para impulsar la actividad económica y promover la prosperidad compartida a partir de los efectos económicos y sociales. El PODECOBI Tuxpan consta de una superficie de 2,351,023.52 m2, misma que cumple los criterios de selección establecidos en el Acuerdo por el que se emiten los Lineamientos para los Polos de Desarrollo Económico para el Bienestar, publicado en el Diario Oficial de la Federación el 22 de mayo de 2025. Las características del polo y municipios aledaños son las siguientes: I. Macrolocalización: Tuxpan, Veracruz. II. Comunicación y conectividad: conectividad marítima con el Golfo de México y su enlace directo con la Ciudad de México vía terrestre en la autopista México-Tuxpan. III. Poblacional: 400,693 habitantes en el municipio de Tuxpan y aledaños. IV. Factibilidad social: el Instituto Nacional de los de los Pueblos Indígenas informó que ""[...] en opinión de este Instituto no es necesario realizar un proceso de consulta previa, libre e informada [...]"" V. Educativo: instituciones de educación superior y media superior en el PODECOBI y municipios aledaños. VI. Territorial: para el desarrollo de actividades productivas en el PODECOBI son vocaciones productivas, prioritarias y potenciales las siguientes: · Logística; · Agroindustria; · Industria Ligera; · Energético; · Industria pesada; · Industria textil especializada; · Actividades industriales y comercio internacional, y · Almacenamiento y distribución de mercancías. VII. Factibilidad industrial: Cuenta con licencia de uso de suelo mixto para uso industrial. VIII. Sostenibilidad: la Secretaría de Medio Ambiente y Recursos Naturales determinó que es viable en materia ambiental, ya que, entre otras características, el predio contiene vegetación secundaria arbustiva de selva perennifolia; se requerirá ETJ para cambio de uso de suelo. IX. Servicios e infraestructura: cuenta con infraestructura estratégica y excelente conectividad (carretera y puerto). Asimismo, en materia energética, el dictamen individual emitido por la Secretaría de Energía de fecha 04 de junio de 2025, evalúa este Polo con pre factibilidad positiva X. Propiedad: los predios que conforman el área del PODECOBI son de propiedad pública estatal.",Público / Privado,,,,,,,,,,,,Preinversión,Preparación,,,Veracruz,Secretaría de Economía,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1019-podecobi-tuxpan-veracruz/,,,,,,,,,,,,,,,,,,
1018 CFE: Subestación eléctrica Santa fe bco. 1,"Construcción de una subestación eléctrica, en el estado de sinaloa.",Electricidad,Transmisión / Distribución,Greenfield,Pesos mexicanos MXN,,,Construcción,,"El proyecto consiste en la construcción de una nueva subestación eléctrica para la distribución de energía eléctrica con las siguientes características: - 1 transformador trifásico de 30 MVA con una relación de transformación de 115/13.8 kV. - 2 alimentadores de 115 kV, para las líneas de alta tensión que enlazan esta subestación con las subestaciones Culiacán Uno - Culiacán Norte. - 6 alimentadores en 13.8 kV. - 1 banco de capacitores de 1.8 Mvar en 13.8 kV. - Contrato de obra a precios unitarios y evaluación por precio. - El contenido nacional de mano de obra que deben cumplir los concursantes en la ejecución de los trabajos es cuando menos del 90% y en materiales y equipo de instalación permanente es de cuando menos el 48.25%. - El precio máximo de contratación al que la CFE considera susceptible la adjudicación del contrato es por la cantidad de MXN $85,866,469.40 sin incluir el IVA. - La Comisión Federal de Electricidad, CFE, otorgará un anticipo en cada ejercicio fiscal equivalentes al 30% del monto programado en cada ejercicio.",Público,Obra Pública Tradicional,,Licitación Pública Nacional,,10/11/2025,20/11/2025,05/12/2025,19/12/2025,22/12/2025,,19/07/2026,Licitación,Revisión de Propuesta,,,Sinaloa,Comisión Federal de Electricidad,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1018-cfe-subestacion-electrica-santa-fe-bco-1/,Estación/ Subestación Eléctrica,30,MVA,,,,,,,,,,,,,,,
1017 Construcción de la nueva fuente de abastecimiento de agua potable en Coatzacoalcos,"Construcción de la nueva fuente de abastecimiento de agua potable en Coatzacoalcos, EN EL ESTADO DE VERACRUZ.",Agua y Medio Ambiente,Abastecimiento de Agua,Greenfield,Pesos mexicanos MXN,"2,891",156,Construcción,,"Este proyecto podrá tener una o más licitaciones correspondientes a las distintas obras para la nueva fuente de abastecimiento; sus vínculos podrán consultarse en la sección de Más Información una vez identificados y publicados. En ese sentido, la información aquí plasmada se refiere a las características generales del conjunto de obras y cada licitación tendrá datos diferentes. Asimismo, la etapa se mantendrá en licitación cuando al menos una obra esté en ese proceso. El proyecto consiste en la construcción de una fuente de captación de agua potable y consecuentemente su línea de conducción, considera las siguientes acciones o componentes: 1. Acueducto. 2. Planta Potabilizadora. 3. Obra de Toma y Planta de Bombeo 1 (PB1). 4. Planta de Bombeo 2 (PB2). 5. Interconexión de Tanques. 6. Obras complementarias. 7. Gerencia de Proyectos. Tiene como objetivo proveer de una fuente de abastecimiento de agua potable suficiente, segura y confiable a los habitantes del municipio de Coatzacoalcos, garantizando su aprovechamiento y accesibilidad a costos razonables durante un periodo de vida útil de 23 años.",Público,Obra Pública Tradicional,,Licitación Pública Nacional,,15/08/2025,01/09/2025,11/09/2025,,15/09/2025,,09/03/2027,Ejecución,,"Grupo Impulsor Pajeme SA de CV, Planeación Sistemas y Control SA de CV",,Veracruz,Comisión Nacional del Agua,false,,https://www.proyectosmexico.gob.mx/proyecto_inversion/1017-construccion-de-la-nueva-fuente-de-abastecimiento-de-agua-potable-en-coatzacoalcos/,Acueducto,,,,Planta Potabilizadora de Agua,,,,Infraestructura Hidráulica,,,,Línea de conducción,,,,,Si
